CHANNEL,CHANNEL_ROLE,SORT_METHOD,SAMPLE_DESIGN,N_MONTHS,DATE_START,DATE_END,N_HIGH_MIN,N_LOW_MIN,TEST,FOCAL,COEFFICIENT,STANDARD_ERROR,P_VALUE,CI_LOWER_95,CI_UPPER_95,NONSTATE_MEAN,STATE_MEAN,N_STATE_MONTHS,HOLM_P_PRIMARY_FAMILY,BH_Q_PRIMARY_FAMILY
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,108,2017-01-31,2025-12-31,2,2,CPU_AND_VIX_STRESS_ADJUSTED_INCREMENT,CPU_AND_VIX_STRESS,0.00039165388730785485,0.003993566057528182,0.9218757420603457,-0.007435591755328997,0.008218899529944706,,,17.0,1.0,0.9218757420603457
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,108,2017-01-31,2025-12-31,2,2,EXTREME_CPU_REGIME_RAW_INCREMENT,EXTREME_CPU_REGIME,-0.004504524210472252,0.0025735549637377173,0.08006448636502997,-0.009548599251632463,0.0005395508306879591,0.0030993142779099188,-0.001405209932562333,19.0,0.2401934590950899,0.16012897273005994
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,108,2017-01-31,2025-12-31,2,2,EXTREME_CPU_REGIME_ADJUSTED_INCREMENT,EXTREME_CPU_REGIME,-0.0023329818216464354,0.0028767491158874668,0.4173779900079154,-0.007971306481343313,0.0033053428380504417,,,19.0,1.0,0.8347559800158308
PORTFOLIO_CONCENTRATION_FINAL,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,108,2017-01-31,2025-12-31,2,2,UNCONDITIONAL_HML_MEAN,CONST,0.002713105367505142,0.0015229023559066564,0.07482492962605555,-0.0002717284020431034,0.005697939137053388,,,,0.22447478887816666,0.14241698490084984
PORTFOLIO_CONCENTRATION_FINAL,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,108,2017-01-31,2025-12-31,2,2,FACTOR_ADJUSTED_ALPHA,CONST,-0.00023158642755905044,0.0014370397638993984,0.8719711666939628,-0.0030481326091538136,0.0025849597540357127,,,,1.0,0.8719711666939628
PORTFOLIO_CONCENTRATION_FINAL,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,108,2017-01-31,2025-12-31,2,2,CONTINUOUS_CPU_VIX_SENSITIVITY,CPU_Z_X_VIX_Z,-0.0035724406870718158,0.0015251409272892058,0.01916183158320738,-0.00656166197590668,-0.0005832193982369511,,,,0.07664732633282952,0.0396003215797859
PORTFOLIO_CONCENTRATION_FINAL,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,108,2017-01-31,2025-12-31,2,2,CPU_AND_VIX_STRESS_RAW_INCREMENT,CPU_AND_VIX_STRESS,-0.008616941785651913,0.004812697471521857,0.07338000979927191,-0.018049655498321736,0.0008157719270179085,0.004069475833765166,-0.004547465951886747,17.0,0.20152083097319892,0.09784001306569588
PORTFOLIO_CONCENTRATION_FINAL,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,108,2017-01-31,2025-12-31,2,2,CPU_AND_VIX_STRESS_ADJUSTED_INCREMENT,CPU_AND_VIX_STRESS,0.0010310920789364229,0.0056165374658847704,0.8543418183559872,-0.00997711907201759,0.012039303229890434,,,17.0,1.0,0.9218757420603457
PORTFOLIO_CONCENTRATION_FINAL,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,108,2017-01-31,2025-12-31,2,2,EXTREME_CPU_REGIME_RAW_INCREMENT,EXTREME_CPU_REGIME,-0.002422898335044832,0.006313194615345414,0.7011391051753584,-0.014796532408514043,0.00995073573842438,0.0031393560005222878,0.0007164576654774559,19.0,1.0,0.7011391051753584
PORTFOLIO_CONCENTRATION_FINAL,PRIMARY,MEDIAN_SPLIT,AVAILABLE_CROSS_SECTION,108,2017-01-31,2025-12-31,2,2,EXTREME_CPU_REGIME_ADJUSTED_INCREMENT,EXTREME_CPU_REGIME,6.842731192884563e-05,0.005671994430367202,0.9903745019383149,-0.01104847749210265,0.01118533211596034,,,19.0,1.0,0.9903745019383149
